column,target,n,spearman_rho,p_raw,abs_rho,rank,position
missed_wks_1,signed_resid,827,0.33980971103511165,8.45699920207783e-24,0.33980971103511165,10,WR
games_1,signed_resid,827,-0.3392958950644096,9.965917708923863e-24,0.3392958950644096,11,WR
gshare_1,signed_resid,827,-0.3392958950644096,9.965917708923863e-24,0.3392958950644096,12,WR
proj_bonus_points,signed_resid,827,-0.3352242930585993,3.6208108462724343e-23,0.3352242930585993,13,WR
unexp_missed_share_1,signed_resid,827,0.31353873006411864,2.537495626198519e-20,0.31353873006411864,14,WR
tgt_1,signed_resid,827,-0.3089764816619512,9.418729408805931e-20,0.3089764816619512,15,WR
pts_1,signed_resid,827,-0.3076023741770683,1.3918846722975756e-19,0.3076023741770683,16,WR
recyds_1,signed_resid,827,-0.307005902796963,1.647968847870616e-19,0.307005902796963,17,WR
rec_1,signed_resid,827,-0.30565446239959343,2.4127217171282404e-19,0.30565446239959343,18,WR
evidence,signed_resid,827,-0.3008747622686897,9.144057188418004e-19,0.3008747622686897,19,WR
depth_first_share_1,signed_resid,827,-0.27836044475557653,3.503999783828856e-16,0.27836044475557653,20,WR
chronic_missed_share,signed_resid,827,0.26908952471636355,3.481233008396572e-15,0.26908952471636355,21,WR
rectd_1,signed_resid,827,-0.2687201948008198,3.807749379399269e-15,0.2687201948008198,22,WR
offroster_share_1,signed_resid,827,0.26518378959744204,8.92159182823615e-15,0.26518378959744204,23,WR
late4_share_1,signed_resid,827,-0.26303322934568046,1.4880871469606546e-14,0.26303322934568046,24,WR
proj_tpg,signed_resid,827,-0.2487007103128157,4.001297420216621e-13,0.2487007103128157,25,WR
miss1_x_endgap,signed_resid,827,0.22957843590301824,2.3637492561437827e-11,0.22957843590301824,26,WR
gshare_max3,signed_resid,827,-0.22917743549638514,2.565164953748899e-11,0.22917743549638514,27,WR
endgap_share_1,signed_resid,827,0.22762920993461852,3.5124381049955996e-11,0.22762920993461852,28,WR
played_thru_1,signed_resid,827,-0.22408671034067457,7.148425597117297e-11,0.22408671034067457,29,WR
