span,variant,position,season,n_train,n_board_vet,n_vet,rho_points,rho_games,mae_games,rho_points_fullvet
2012,raw,TE,2023,11,17,89,0.590686274509804,0.22257548876132666,3.495744989163106,0.7628992880783418
2012,raw,TE,2024,12,16,86,0.27520242917720916,0.06994543281683799,3.0084384911980226,0.7434719183933073
2016,ctx,QB,2018,2,19,65,-0.18596491228070175,0.231754713759663,4.1135126441500525,0.6070981256819068
2016,ctx,QB,2019,3,19,72,0.4122807017543859,-0.043438917702333435,3.7301946059258935,0.6825376507746257
2016,ctx,QB,2020,4,19,73,0.38947368421052625,-0.0665439765849241,3.7882344873866436,0.7567800838322895
2016,ctx,QB,2021,5,19,73,0.12982456140350876,-0.09959748470963173,4.076843932819348,0.6996588368523151
2016,ctx,QB,2022,6,14,77,0.5032967032967033,0.4725728113579318,2.639367500529626,0.7419399788032371
2016,ctx,QB,2023,7,23,79,0.08498023715415019,0.031200230372183117,4.559424745444735,0.6108711706434332
2016,ctx,QB,2024,8,21,85,0.45584415584415583,-0.06631939697289516,4.7005591788906615,0.7223457175029527
2016,ctx,RB,2018,2,29,120,0.5049261083743841,0.4225885130602254,3.895500169431429,0.6419483708340115
2016,ctx,RB,2019,3,35,118,0.40168067226890763,0.1586802945047721,4.171061217825927,0.7205150294143704
2016,ctx,RB,2020,4,45,119,0.4094861660079051,-0.08042682737707112,4.4871800206405625,0.65088926401619
2016,ctx,RB,2021,5,59,118,0.6616985223763945,0.31876367911328457,4.106641557377559,0.5757351250565712
2016,ctx,RB,2022,6,37,123,0.31768610715979134,0.07168845275154151,4.7222986169209715,0.7099833527660432
2016,ctx,RB,2023,7,52,128,0.37445573294629897,0.29945909898200945,4.283284945407784,0.7317157545144252
2016,ctx,RB,2024,8,46,112,0.38810940843023184,0.2882697149338957,4.012873818881489,0.7800687765233424
2016,ctx,WR,2018,2,40,186,0.6651343878980989,0.2379417514860959,3.8193414834088832,0.724298476478921
2016,ctx,WR,2019,3,49,185,0.5661224489795917,0.22456583022129936,3.2986187450418654,0.7355305909528006
2016,ctx,WR,2020,4,50,190,0.44336134453781506,0.24983620392009057,3.6840286191525906,0.753274976683747
2016,ctx,WR,2021,5,58,197,0.4119537967480513,0.04482000423334735,4.222206322416019,0.7112760974637701
2016,ctx,WR,2022,6,39,193,0.7127891096734184,0.47083945466360594,3.5005295041536213,0.7265432382010253
2016,ctx,WR,2023,7,61,188,0.579595182430113,0.1440627329297595,4.375300937698544,0.7785397531795383
2016,ctx,WR,2024,8,54,190,0.48649678866828105,0.2440692117196933,3.5094474756138405,0.7958192508103583
2016,ctx,TE,2018,2,11,89,0.38181818181818183,0.15904855449750882,3.422187899296418,0.6026311576785065
2016,ctx,TE,2019,3,10,90,0.5636363636363636,-0.07951404970357048,4.373330878967805,0.581529215386148
2016,ctx,TE,2020,4,16,85,0.3235294117647059,-0.08690662553937026,4.001064047951444,0.6314932182032957
2016,ctx,TE,2021,5,17,90,0.37254901960784315,0.17923762101243607,3.9288072123048807,0.6773347139206731
2016,ctx,TE,2022,6,12,89,0.27272727272727276,0.25254909728539365,2.8281877091754857,0.7863858362678846
2016,ctx,TE,2023,7,17,89,0.5882352941176471,0.2640726137846249,3.607043144790619,0.765646927607718
2016,ctx,TE,2024,8,16,86,0.2972774903411564,0.1056622495743723,3.0336463904529647,0.7377456229047273
2015,ctx,QB,2018,3,19,65,-0.2596491228070175,0.23683705397369062,4.1346812995170215,0.6063043027658618
2015,ctx,QB,2019,4,19,72,0.4,-0.057260391516712264,3.700103675149102,0.6757320284582884
2015,ctx,QB,2020,5,19,73,0.39824561403508774,-0.031314812510552514,3.7784391254366616,0.7545776167904756
2015,ctx,QB,2021,6,19,73,0.15438596491228068,-0.08058341944688384,4.027777533501944,0.6946865471257598
2015,ctx,QB,2022,7,14,77,0.4945054945054946,0.4725728113579318,2.6485966508699166,0.7382825003079534
2015,ctx,QB,2023,8,23,79,0.0909090909090909,0.031200230372183117,4.561099953664654,0.6094069009424247
2015,ctx,QB,2024,9,21,85,0.45974025974025967,-0.08708607683309465,4.695464940781599,0.7176734031227395
2015,ctx,RB,2018,3,29,120,0.457142857142857,0.3539241907469749,3.7907528617277877,0.6074952974640546
