"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"140",8,"Zach Charbonnet",SEA,"RB49","11","","","4 out of 5 stars","-16"
"141",8,"C.J. Stroud",HOU,"QB22","8","","","4 out of 5 stars","+6"
"142",8,"Dylan Sampson",CLE,"RB50","11","","","3 out of 5 stars","+22"
"143",8,"Sam Darnold",SEA,"QB23","11","","","4 out of 5 stars","-3"
"144",8,"Brenton Strange",JAC,"TE16","7","","","3 out of 5 stars","-14"
"145",8,"Juwan Johnson",NO,"TE17","8","","","2 out of 5 stars","-7"
"146",8,"Rashid Shaheed",SEA,"WR56","11","","","3 out of 5 stars","-7"
"147",8,"Hunter Henry",NE,"TE18","11","","","4 out of 5 stars","-18"
"148",8,"Keaton Mitchell",LAC,"RB51","7","","","3 out of 5 stars","+22"
"149",8,"Brian Robinson Jr.",ATL,"RB52","11","","","2 out of 5 stars","-14"
"150",8,"Cam Ward",TEN,"QB24","9","","","3 out of 5 stars","+4"
"151",8,"Tank Bigsby",PHI,"RB53","10","","","4 out of 5 stars","+23"
"152",8,"Oronde Gadsden II",LAC,"TE19","7","","","4 out of 5 stars","-29"
"153",8,"Chig Okonkwo",WAS,"TE20","7","","","1 out of 5 stars","-17"
"154",8,"Jauan Jennings",MIN,"WR57","6","","","5 out of 5 stars","+8"
"155",8,"Jerry Jeudy",CLE,"WR58","11","","","3 out of 5 stars","+32"
"156",8,"Jonah Coleman",DEN,"RB54","10","","","2 out of 5 stars","-12"
"157",8,"Adonai Mitchell",NYJ,"WR59","13","","","4 out of 5 stars","+44"
"158",8,"Daniel Jones",IND,"QB25","13","","","4 out of 5 stars","+9"
"159",8,"Tre Tucker",LV,"WR60","13","","","2 out of 5 stars","+43"
"160",8,"Bryce Young",CAR,"QB26","5","","","2 out of 5 stars","-10"
"161",8,"Denzel Boston",CLE,"WR61","11","","","3 out of 5 stars","-1"
"162",8,"Jalen McMillan",TB,"WR62","10","","","4 out of 5 stars","+1"
"163",8,"Omar Cooper Jr.",NYJ,"WR63","13","","","4 out of 5 stars","-2"
"164",8,"Dalton Schultz",HOU,"TE21","8","","","4 out of 5 stars","+2"
"165",8,"Braelon Allen",NYJ,"RB55","13","","","3 out of 5 stars","+26"
"166",8,"Houston Texans",HOU,"DST1","8","","","2 out of 5 stars","-7"
"167",8,"Travis Hunter",JAC,"WR64","7","","","4 out of 5 stars","+1"
"168",9,"Ryan Flournoy",DAL,"WR65","14","","","2 out of 5 stars","+101"
"169",9,"Tre' Harris",LAC,"WR66","7","","","2 out of 5 stars","+53"
"170",9,"T.J. Hockenson",MIN,"TE22","6","","","4 out of 5 stars","-12"
"171",9,"Denver Broncos",DEN,"DST2","10","","","4 out of 5 stars","+1"
"172",9,"AJ Barner",SEA,"TE23","11","","","3 out of 5 stars","-3"
"173",9,"James Conner",ARI,"RB56","14","","","2 out of 5 stars","+3"
"174",9,"Seattle Seahawks",SEA,"DST3","11","","","2 out of 5 stars","+1"
"175",9,"Kenyon Sadiq",NYJ,"TE24","13","","","4 out of 5 stars","-34"
"176",9,"Los Angeles Rams",LAR,"DST4","11","","","2 out of 5 stars","-11"
"177",9,"Kayshon Boutte",NE,"WR67","11","","","2 out of 5 stars","+17"
"178",9,"Sean Tucker",TB,"RB57","10","","","2 out of 5 stars","+26"
"179",9,"Jacoby Brissett",ARI,"QB27","14","","","2 out of 5 stars","+19"
"180",9,"Philadelphia Eagles",PHI,"DST5","10","","","0 out of 5 stars","+5"
"181",9,"Kimani Vidal",LAC,"RB58","7","","","3 out of 5 stars","+31"
"182",9,"Stefon Diggs",FA,"WR68","-","","","-","-29"
"183",9,"Emanuel Wilson",SEA,"RB59","11","","","4 out of 5 stars","+44"
"184",9,"Calvin Ridley",TEN,"WR69","9","","","3 out of 5 stars","+13"
"185",9,"Jaylin Noel",HOU,"WR70","8","","","3 out of 5 stars","+64"
"186",9,"Troy Franklin",DEN,"WR71","10","","","2 out of 5 stars","+61"
"187",9,"Brandon Aubrey",DAL,"K1","14","","","2 out of 5 stars","-35"
"188",9,"Ray Davis",BUF,"RB60","7","","","2 out of 5 stars","+26"
"189",9,"De'Zhaun Stribling",SF,"WR72","8","","","2 out of 5 stars","+107"
"190",9,"Isaac TeSlaa",DET,"WR73","6","","","4 out of 5 stars","-17"
"191",9,"New England Patriots",NE,"DST6","11","","","3 out of 5 stars","+1"
